customer_id,recency,frequency,monetary,R_rank,F_rank,M_rank,RFM_Score,segment,Cluster
1,8,11,9084.45,10,7,9,26,Best Customers,2
2,129,3,4149.07,2,1,3,6,Lost Customers,1
4,196,2,1047.72,1,1,1,3,Lost Customers,1
5,17,6,5903.2,8,4,6,18,Potential Loyalist,0
6,65,5,5931.6900000000005,4,3,6,13,At Risk,3
7,254,3,995.38,1,1,1,3,Lost Customers,1
8,23,9,9933.289999999999,8,6,9,23,Loyal Customers,2
9,79,6,5357.549999999999,3,4,5,12,At Risk,3
11,47,5,6026.8,5,3,6,14,At Risk,3
12,68,7,6394.21,4,5,6,15,Potential Loyalist,3
13,28,7,7734.74,7,5,8,20,Loyal Customers,2
14,48,3,2509.3900000000003,5,1,1,7,Lost Customers,1
15,36,6,4923.34,6,4,4,14,At Risk,0
16,100,5,7763.79,3,3,8,14,At Risk,3
17,1,5,4676.1900000000005,10,3,4,17,Potential Loyalist,0
18,135,7,8878.62,2,5,9,16,Potential Loyalist,3
19,281,2,2948.34,1,1,2,4,Lost Customers,1
20,32,4,6618.86,7,2,7,16,Potential Loyalist,0
21,7,5,7446.21,10,3,7,20,Loyal Customers,2
24,18,7,6885.51,8,5,7,20,Loyal Customers,2
25,6,12,9996.33,10,7,9,26,Best Customers,2
26,260,2,2245.85,1,1,1,3,Lost Customers,1
27,144,7,7679.97,2,5,8,15,Potential Loyalist,3
28,84,6,5492.900000000001,3,4,5,12,At Risk,3
29,23,9,10855.57,8,6,10,24,Loyal Customers,2
30,12,3,3736.5199999999995,9,1,3,13,At Risk,0
31,90,4,3110.0,3,2,2,7,Lost Customers,1
32,139,7,7873.18,2,5,8,15,Potential Loyalist,3
33,39,6,8808.96,6,4,9,19,Potential Loyalist,2
34,103,8,12098.83,3,6,10,19,Potential Loyalist,3
35,93,4,4182.28,3,2,3,8,Lost Customers,1
36,164,2,1781.04,1,1,1,3,Lost Customers,1
37,8,9,11291.71,10,6,10,26,Best Customers,2
38,51,4,4502.59,5,2,4,11,At Risk,1
39,35,12,11237.19,6,7,10,23,Loyal Customers,2
40,15,5,4882.43,9,3,4,16,Potential Loyalist,0
41,30,8,8570.1,7,6,9,22,Loyal Customers,2
42,112,4,1936.46,2,2,1,5,Lost Customers,1
43,62,9,6574.59,4,6,7,17,Potential Loyalist,3
44,36,7,7497.4,6,5,8,19,Potential Loyalist,2
45,44,3,2912.33,6,1,2,9,Lost Customers,0
46,54,5,4923.139999999999,5,3,4,12,At Risk,0
47,36,7,8022.01,6,5,8,19,Potential Loyalist,2
48,83,8,9654.119999999999,3,6,9,18,Potential Loyalist,3
49,37,4,5637.49,6,2,5,13,At Risk,0
50,27,7,7362.27,7,5,7,19,Potential Loyalist,2
51,56,8,9667.460000000001,5,6,9,20,Loyal Customers,3
